Name,Address,Phone,Beds
Christian Horizons,1960 Kimball Ct Orléans ON K1C 7C1,(613) 837-6571,10
Shepherds of Good Hope,233 Murray St Ottawa ON K1N 5M9,(613) 789-8210,25
Ottawa Mission,35 Waller St Ottawa ON K1N 7G4,(613) 234-1144,40
Salvation Army Ottawa Booth Centre,171 George St Ottawa ON K1N 5W5,(613) 241-1573,30
Youth Services Bureau,147 Besserer St Ottawa ON K1N 6A7,(613) 729-1000,15
Cornerstone Housing for Women,314 Booth St Ottawa ON K1R 7K2,(613) 254-6584,20
Daybreak Housing,393 Piccadilly Ave Ottawa ON K1Y 0H3,(613) 236-8070,35
Booth Transitional House,171 George St Ottawa ON K1N 5W5,(613) 241-1573,25
Centre 507 Drop-In,507 Bank St Ottawa ON K2P 1Z4,(613) 233-5626,15
Operation Come Home,150 Gloucester St Ottawa ON K2P 0A6,(613) 230-4663,20
Aboriginal Youth Non-Profit Housing,65 Harvey St Ottawa ON K1S 0A8,(613) 233-0672,15
